Method,Dimensions,Time,Accuracy,Precision,Specificity,F1 Score,AUC,MCC
PCA,8,0.20079326629638672,0.8930413727760816,0.9552303056392596,0.9836683417085427,0.8137147048038137,0.8461938003656095,0.7572277536378352
PCA,16,0.15775799751281738,0.9100957995578481,0.9660253786328284,0.9869660804020101,0.8467886616433441,0.870359437518156,0.7966277911508999
PCA,32,0.17775392532348633,0.9184124644699442,0.9708233413269385,0.988536432160804,0.8624178945499734,0.882163457217419,0.815685278665876
PCA,64,0.265578031539917,0.9245183703547741,0.9744496855345912,0.9897927135678392,0.8736563876651983,0.890776267355622,0.8296484696530545
UMAP,8,12.771291971206665,0.8960943257184967,0.9768683274021353,0.9918341708542714,0.8165086447295036,0.8466037669985187,0.7666713411993439
UMAP,16,14.664052724838257,0.8948310348457732,0.9780269058295964,0.9923052763819096,0.8136541689983212,0.844443918931932,0.7640148724007849
UMAP,32,14.384711503982544,0.8952521318033477,0.9780662488809311,0.9923052763819096,0.8145386766076421,0.8450826924867069,0.7649566792918726
UMAP,64,18.06294012069702,0.8948310348457732,0.9771709937332139,0.9919912060301508,0.8137931034482758,0.8446062705334401,0.763900578353612
t-SNE,2,11.806313276290894,0.8925150015791136,0.9547413793103449,0.9835113065326633,0.812694918363603,0.8454765092228951,0.7559892334359611
t-SNE,3,29.29058861732483,0.9020949573639331,0.9354966363276612,0.9744032663316583,0.8356309650053022,0.864716804037755,0.775974625891296
